ID,age,sex,n_child,HH_income,married,race,education,state,cluster
20051211050148,43,2,0,NA,0,asian,HS,Washington,Cluster 6
20051211050684,80,1,0,35000,0,white,Bachelors,California,Cluster 1
20051211051784,25,1,0,25000,0,white,Bachelors,North Dakota,Cluster 1
20051211052455,18,2,0,40000,0,white,NA,Minnesota,Cluster 3
20060101061468,75,2,0,NA,1,white,HS,Mississippi,Cluster 6
20060112051604,65,1,0,35000,1,white,HS,New York,Cluster 6
20060112051836,38,1,2,30000,1,white,Did not graduate from HS,Ohio,Cluster 5
20060201060042,59,2,0,50000,1,white,HS,Illinois,Cluster 6
20060201060828,42,1,2,100000,1,black,Bachelors,California,Cluster 3
20060201062066,20,1,1,NA,0,white,Did not graduate from HS,Tennessee,Cluster 5
20060201062329,58,1,0,100000,1,white,Some college,Washington,Cluster 6
20060301061843,48,1,0,75000,1,white,Bachelors,Ohio,Cluster 6
20060302062113,63,2,0,0,0,black,HS,Texas,Cluster 6
20060302062295,71,2,1,35000,0,white,HS,Virginia,Cluster 6
20060402060923,53,2,0,75000,1,white,HS,Florida,Cluster 5
20060403060690,58,2,0,75000,1,white,Bachelors,California,Cluster 6
20060403061361,16,1,2,20000,0,white,Did not graduate from HS,Michigan,Cluster 4
20060404062313,60,1,0,100000,1,black,Bachelors,Washington,Cluster 6
20060504062242,33,1,2,30000,1,white,Did not graduate from HS,Virginia,Cluster 6
20060504062270,37,2,2,25000,1,white,Some college,Virginia,Cluster 6
20060505060063,56,2,0,12500,0,black,Some college,Michigan,Cluster 2
20060605060673,49,1,0,20000,0,white,Did not graduate from HS,California,Cluster 2
20060605061352,65,1,0,25000,1,white,Did not graduate from HS,Michigan,Cluster 6
20060606061920,41,1,0,10000,0,black,HS,Pennsylvania,Cluster 5
20060705061058,38,2,2,60000,1,other,Some college,Hawaii,Cluster 5
20060706060897,60,2,0,100000,1,white,HS,Florida,Cluster 2
20060706061122,16,1,3,40000,0,black,Did not graduate from HS,Illinois,Cluster 1
20060706062009,50,2,0,10000,0,white,HS,Tennessee,Cluster 5
20060706062292,26,2,0,NA,1,asian,Some college,Washington,Cluster 3
20060707061897,59,2,0,60000,1,white,HS,Oregon,Cluster 3
20060908060736,41,2,2,75000,1,white,Some college,California,Cluster 6
20060908061321,50,1,0,40000,1,white,Did not graduate from HS,Massachusetts,Cluster 5
20060908061538,32,2,0,35000,1,white,Some college,New Jersey,Cluster 5
20061008062202,16,1,3,50000,0,white,Did not graduate from HS,Texas,Cluster 4
20061009061915,72,2,0,0,0,white,Did not graduate from HS,Pennsylvania,Cluster 1
20061109062469,16,1,1,60000,0,white,Did not graduate from HS,Maryland,Cluster 4
20061110060113,56,1,0,75000,1,black,Some college,Ohio,Cluster 2
20061110061153,22,2,1,NA,0,white,Some college,Indiana,Cluster 4
20061110062009,41,2,3,150000,1,white,Masters,Tennessee,Cluster 6
20061110062293,36,2,2,75000,1,white,Masters,Washington,Cluster 6
20061210060883,68,2,0,40000,1,black,Some college,Florida,Cluster 3
20061211061346,36,2,3,75000,1,white,Bachelors,Michigan,Cluster 6
20061211062487,49,2,0,50000,0,white,HS,Missouri,Cluster 5
20061212061629,75,1,1,NA,1,black,Did not graduate from HS,New York,Cluster 2
20070101070088,85,2,0,NA,0,white,HS,New York,Cluster 1
20070111061840,23,1,0,20000,0,white,Some college,Ohio,Cluster 3
20070112060061,80,1,0,100000,0,white,Doctoral,Illinois,Cluster 3
20070112060739,79,1,0,50000,0,white,Some college,California,Cluster 6
20070302071589,15,2,1,75000,0,white,Did not graduate from HS,New Mexico,Cluster 4
20070302071700,29,1,2,20000,0,black,Some college,New York,Cluster 3
20070302072254,15,2,1,25000,0,black,Did not graduate from HS,Virginia,Cluster 4
20070503071461,15,1,3,NA,0,white,Did not graduate from HS,Mississippi,Cluster 6
20070604071980,57,1,0,35000,1,black,Did not graduate from HS,Oklahoma,Cluster 6
20070605070730,41,1,1,75000,1,asian,Some college,California,Cluster 2
20070605070819,76,1,0,150000,1,white,NA,California,Cluster 6
20070605071934,19,1,1,12500,0,white,HS,Ohio,Cluster 2
20070706072094,48,2,1,30000,1,white,Some college,South Carolina,Cluster 1
20070707070841,56,1,0,15000,1,white,HS,Colorado,Cluster 2
20070806070828,17,2,1,35000,0,white,Did not graduate from HS,California,Cluster 4
20070808070126,26,2,0,75000,0,white,Bachelors,Washington,Cluster 2
20070808071770,60,2,0,15000,1,white,HS,North Carolina,Cluster 3
20070908071401,80,2,0,15000,0,white,Did not graduate from HS,Michigan,Cluster 3
20070908071636,56,1,0,100000,1,white,Bachelors,New Mexico,Cluster 1
20071009071593,16,1,2,30000,0,black,Did not graduate from HS,New York,Cluster 4
20071009072379,17,2,3,100000,0,white,Did not graduate from HS,Iowa,Cluster 4
20071109070525,60,2,0,NA,1,white,HS,Alabama,Cluster 3
20071110070807,38,2,2,50000,0,white,Bachelors,Colorado,Cluster 5
20071110071778,16,1,1,150000,0,white,Did not graduate from HS,Ohio,Cluster 4
20071211070059,18,2,0,NA,0,white,HS,Indiana,Cluster 2
20071211071757,37,2,1,60000,1,white,Some college,Ohio,Cluster 2
20071211072077,27,1,0,20000,0,white,Some college,Texas,Cluster 2
20080101081373,29,1,4,30000,1,black,Some college,Michigan,Cluster 5
20080201081388,80,2,0,NA,0,black,HS,Michigan,Cluster 1
20080201082487,62,2,0,NA,0,white,HS,Virginia,Cluster 1
20080202080110,85,2,0,10000,0,white,Did not graduate from HS,New York,Cluster 1
20080302080067,17,1,1,NA,0,black,NA,Illinois,Cluster 4
20080302082325,76,2,0,150000,1,white,HS,Wisconsin,Cluster 1
20080302082355,52,2,0,100000,1,white,HS,Connecticut,Cluster 3
20080403081037,42,2,2,75000,1,asian,Bachelors,Hawaii,Cluster 6
20080403081758,29,2,0,15000,0,white,Some college,Ohio,Cluster 4
20080504080525,80,1,0,20000,1,white,HS,Virginia,Cluster 3
20080504081128,58,2,0,75000,0,white,NA,South Carolina,Cluster 5
20080606082299,85,2,0,10000,0,white,Did not graduate from HS,California,Cluster 1
20080706080767,33,1,0,35000,0,white,Some college,Tennessee,Cluster 2
20080706080996,65,1,0,75000,1,white,Masters,Arkansas,Cluster 3
20080706081693,38,1,0,100000,1,white,Some college,Louisiana,Cluster 1
20080806082308,67,2,0,25000,0,white,Bachelors,California,Cluster 6
20080807081998,66,1,0,60000,1,white,HS,Pennsylvania,Cluster 6
20080807082040,54,2,0,60000,1,white,HS,Missouri,Cluster 3
20080807082462,85,2,0,30000,0,white,HS,Florida,Cluster 6
20080808080792,76,2,0,35000,1,white,HS,Indiana,Cluster 6
20080808080826,59,2,0,NA,0,white,Did not graduate from HS,Tennessee,Cluster 1
20080908081002,50,1,0,NA,1,black,Bachelors,New York,Cluster 5
20080908081311,36,2,2,40000,1,white,Bachelors,Arizona,Cluster 1
20080908081609,25,1,0,75000,0,white,Some college,New Jersey,Cluster 4
20080908082230,59,1,0,60000,1,white,Masters,New York,Cluster 5
20081008081734,47,1,2,100000,1,white,Bachelors,California,Cluster 2
20081009081860,44,1,3,40000,1,white,HS,Missouri,Cluster 5
20081109081578,15,2,1,150000,0,white,Did not graduate from HS,Missouri,Cluster 4
20081109082405,46,2,0,75000,1,white,HS,Montana,Cluster 2
20081110081794,29,1,0,60000,1,white,Doctoral,New Hampshire,Cluster 2
20081110082344,77,1,0,40000,1,white,Some college,Arizona,Cluster 3
20090112081228,28,1,0,100000,0,white,Bachelors,Texas,Cluster 1
20090112081874,25,2,3,12500,0,black,Some college,Texas,Cluster 4
20090201090690,37,2,2,75000,1,white,HS,Ohio,Cluster 6
20090201090772,34,1,0,50000,0,white,Some college,Washington,Cluster 6
20090201090775,15,1,1,75000,0,white,Did not graduate from HS,California,Cluster 4
20090201091130,49,1,0,50000,1,white,Did not graduate from HS,Alabama,Cluster 2
20090201092000,18,2,1,150000,0,white,Did not graduate from HS,Pennsylvania,Cluster 4
20090201092017,35,1,0,100000,1,white,Bachelors,California,Cluster 5
20090301092357,22,2,0,40000,0,black,HS,Louisiana,Cluster 2
20090302092147,22,1,0,150000,0,white,Some college,Pennsylvania,Cluster 4
20090403090092,68,2,0,25000,0,white,Masters,Illinois,Cluster 3
20090403091759,34,2,2,75000,1,white,Bachelors,Washington,Cluster 6
20090404091293,16,1,1,75000,0,white,Did not graduate from HS,California,Cluster 4
20090404092426,27,2,3,NA,1,white,HS,New York,Cluster 6
20090504090985,15,2,2,30000,0,white,Did not graduate from HS,Florida,Cluster 4
20090504091518,76,2,0,7500,0,white,HS,Florida,Cluster 1
20090604090080,85,2,0,NA,0,white,Some college,Kansas,Cluster 3
20090605092358,57,2,0,40000,1,white,Some college,California,Cluster 1
20090705092151,36,2,2,150000,1,white,Bachelors,Connecticut,Cluster 6
20090706090815,18,1,0,40000,0,white,Did not graduate from HS,Missouri,Cluster 2
20090706091405,66,2,0,NA,0,white,Some college,California,Cluster 1
20090706092254,46,2,1,50000,1,white,Some college,Texas,Cluster 5
20090806091381,49,2,1,60000,1,white,Did not graduate from HS,New Mexico,Cluster 5
20090807090507,35,2,1,50000,0,white,HS,Missouri,Cluster 2
20090807091083,22,2,0,20000,0,white,HS,Texas,Cluster 1
20090807092059,85,2,0,10000,0,white,HS,Wisconsin,Cluster 6
20090908090642,63,1,0,50000,1,white,Bachelors,Washington,Cluster 6
20090908091716,26,1,0,75000,0,white,HS,Wisconsin,Cluster 5
20090908091949,27,2,1,60000,1,white,Bachelors,New York,Cluster 6
20090908092400,29,2,1,50000,0,white,Some college,Rhode Island,Cluster 6
20091009091112,37,1,1,20000,0,white,HS,California,Cluster 5
20091110091486,41,2,1,75000,1,black,Bachelors,Maryland,Cluster 6
20091111092322,80,2,0,12500,0,white,HS,Illinois,Cluster 6
20091209090842,26,1,0,40000,0,white,Did not graduate from HS,Illinois,Cluster 2
20091211091129,54,2,0,60000,1,white,Some college,New Mexico,Cluster 5
20091211091241,44,1,0,35000,0,white,Bachelors,Texas,Cluster 3
20091211091418,17,1,1,75000,0,white,Did not graduate from HS,Missouri,Cluster 4
20091211091666,24,2,1,25000,0,white,HS,New York,Cluster 2
20100101101368,15,2,1,50000,0,white,Did not graduate from HS,Wisconsin,Cluster 4
20100111091817,43,2,2,NA,0,white,Masters,Nevada,Cluster 5
20100112091079,40,2,0,100000,0,white,Some college,Minnesota,Cluster 5
20100112091724,65,1,0,60000,1,white,Some college,California,Cluster 1
20100201101771,76,2,0,40000,0,white,Masters,Florida,Cluster 1
20100202102219,70,2,0,20000,1,black,Did not graduate from HS,Mississippi,Cluster 1
20100212090516,80,1,0,NA,1,white,Did not graduate from HS,Tennessee,Cluster 1
20100301101035,24,1,0,5000,0,white,Some college,Nevada,Cluster 1
20100302101684,56,1,0,NA,0,white,HS,Pennsylvania,Cluster 2
20100302101694,21,2,1,40000,0,white,HS,Oklahoma,Cluster 6
20100302102185,35,2,3,150000,1,white,Bachelors,Oregon,Cluster 3
20100302102207,48,1,0,NA,1,white,HS,Wisconsin,Cluster 5
20100303102132,35,1,1,100000,1,white,HS,Maryland,Cluster 2
20100303102203,54,2,0,150000,1,white,Masters,Georgia,Cluster 6
20100403100865,15,2,2,150000,0,white,Did not graduate from HS,Kansas,Cluster 4
20100403101149,63,1,0,35000,0,white,HS,Arkansas,Cluster 1
20100403101367,55,2,1,60000,1,white,Some college,Wisconsin,Cluster 2
20100403101622,18,1,0,60000,0,white,Did not graduate from HS,California,Cluster 4
20100403101667,28,2,0,150000,1,white,Bachelors,New Jersey,Cluster 5
20100403101719,66,2,0,75000,0,white,NA,Pennsylvania,Cluster 5
20100505102347,78,2,0,10000,0,white,Bachelors,Illinois,Cluster 1
20100605101058,30,1,0,60000,1,asian,HS,Hawaii,Cluster 2
20100605102010,56,2,0,60000,1,white,HS,Wisconsin,Cluster 5
20100605102023,23,1,0,40000,0,asian,Some college,Michigan,Cluster 4
20100605102152,39,2,2,20000,0,white,HS,Colorado,Cluster 1
20100605102377,47,2,0,50000,0,white,HS,California,Cluster 5
20100606101958,34,1,2,100000,1,white,Some college,Colorado,Cluster 5
20100606102285,68,1,0,35000,1,white,Bachelors,Oregon,Cluster 3
20100705101229,34,1,3,15000,1,black,Some college,Oregon,Cluster 6
20100706101191,60,2,0,30000,0,white,HS,New York,Cluster 3
20100807101383,20,2,1,15000,0,white,HS,Tennessee,Cluster 1
20100807102096,17,2,2,60000,0,white,Did not graduate from HS,Utah,Cluster 4
20100908100998,59,1,0,150000,1,white,NA,California,Cluster 2
20100908101708,17,1,4,40000,0,white,Did not graduate from HS,Iowa,Cluster 4
20100908101753,48,1,1,150000,1,white,Bachelors,New York,Cluster 5
20101009100042,61,1,0,12500,0,white,Some college,Kentucky,Cluster 1
20101010100572,70,2,0,10000,1,white,HS,Indiana,Cluster 6
20101010101041,26,2,0,75000,1,white,Bachelors,Florida,Cluster 3
20101109102041,85,1,0,75000,0,white,Bachelors,Georgia,Cluster 5
20101110100754,52,2,0,35000,1,white,HS,Indiana,Cluster 2
20101110101025,63,1,0,20000,1,white,Did not graduate from HS,South Carolina,Cluster 1
20101211100673,20,1,3,15000,0,white,Did not graduate from HS,Tennessee,Cluster 6
20101211102071,62,2,0,50000,1,white,Masters,Wisconsin,Cluster 6
20101211102448,20,1,2,0,0,white,Did not graduate from HS,Pennsylvania,Cluster 3
20101212101761,29,1,0,5000,0,white,Did not graduate from HS,California,Cluster 2
20110112101257,38,1,0,40000,0,black,Bachelors,North Carolina,Cluster 2
20110112101435,58,2,0,50000,0,white,Some college,Massachusetts,Cluster 3
20110112102417,25,2,1,60000,1,white,Some college,Tennessee,Cluster 6
20110201110128,17,1,1,0,0,white,Did not graduate from HS,Texas,Cluster 1
20110201111117,74,1,0,75000,0,white,Masters,Michigan,Cluster 3
20110201111562,25,1,1,20000,1,white,HS,Florida,Cluster 1
20110201112190,58,2,0,75000,1,white,NA,Arizona,Cluster 5
20110212100723,75,2,0,15000,0,white,HS,Ohio,Cluster 3
20110302110758,59,1,0,75000,1,white,Some college,Texas,Cluster 5
20110302110990,54,2,0,100000,0,asian,Bachelors,California,Cluster 4
20110302111110,15,2,3,20000,0,white,Did not graduate from HS,California,Cluster 4
20110303111761,77,2,0,7500,0,white,HS,West Virginia,Cluster 1
20110303112449,43,1,0,40000,0,white,HS,Missouri,Cluster 2
20110402112016,68,2,2,20000,0,black,Did not graduate from HS,Louisiana,Cluster 1
20110403110607,54,2,0,20000,0,white,HS,Texas,Cluster 1
20110503111118,16,2,2,150000,0,white,Did not graduate from HS,Virginia,Cluster 4
20110504111260,69,2,0,25000,0,white,Masters,Idaho,Cluster 6
20110504111575,52,1,2,75000,1,white,HS,California,Cluster 2
20110605110574,55,2,1,15000,1,white,HS,Pennsylvania,Cluster 2
20110605111044,70,1,0,35000,1,white,HS,Pennsylvania,Cluster 6
20110706111091,55,2,0,25000,0,other,HS,Ohio,Cluster 3
20110706111532,56,2,0,30000,1,white,HS,Indiana,Cluster 5
20110706111643,55,1,0,20000,0,white,NA,New Mexico,Cluster 3
20110706111793,77,2,0,15000,0,white,Did not graduate from HS,Kentucky,Cluster 3
20110706111812,71,1,0,15000,1,white,Some college,New York,Cluster 3
20110707111698,67,1,0,50000,1,white,Some college,Ohio,Cluster 6
20110907110552,27,1,0,75000,0,asian,Bachelors,California,Cluster 2
20111009110090,60,2,0,12500,1,white,HS,Missouri,Cluster 6
20111009111141,51,1,1,150000,1,white,Some college,Indiana,Cluster 2
20111009112176,39,1,2,75000,0,white,Did not graduate from HS,Maryland,Cluster 5
20111010110901,77,2,0,60000,1,white,NA,Indiana,Cluster 3
20111110110619,32,2,4,50000,1,white,Bachelors,North Carolina,Cluster 6
20111110111641,42,2,3,100000,1,white,Bachelors,New York,Cluster 4
20111110111985,80,1,0,30000,1,white,HS,Virginia,Cluster 1
20111111110913,50,2,0,25000,1,white,Bachelors,Colorado,Cluster 4
20111210112430,25,1,0,100000,0,white,Some college,New Jersey,Cluster 4
20111211111000,47,2,0,50000,1,white,HS,California,Cluster 2
20111211111080,67,1,0,25000,1,white,Masters,Texas,Cluster 3
20111211111346,54,2,0,60000,1,white,HS,Ohio,Cluster 1
20111211112204,24,1,0,0,0,asian,Some college,Ohio,Cluster 4
20111212111119,64,2,0,50000,1,white,Masters,Massachusetts,Cluster 2
20111212112235,36,2,2,40000,1,white,Some college,Alabama,Cluster 1
20120101120910,45,2,0,35000,0,white,HS,Ohio,Cluster 3
20120111111168,28,2,2,100000,1,white,Bachelors,Texas,Cluster 5
20120112110545,25,1,0,15000,0,white,HS,Pennsylvania,Cluster 1
20120112110622,56,2,0,7500,1,white,HS,Texas,Cluster 6
20120112111073,31,2,1,10000,0,white,HS,Florida,Cluster 2
20120201121293,24,1,0,0,0,white,HS,West Virginia,Cluster 1
20120201121773,55,1,2,100000,1,black,Bachelors,New York,Cluster 2
20120212110834,20,1,0,30000,0,black,Some college,New York,Cluster 1
20120302120820,15,1,4,75000,0,white,Did not graduate from HS,Wisconsin,Cluster 4
20120302120957,17,2,1,75000,0,white,Did not graduate from HS,Connecticut,Cluster 4
20120303121524,65,2,0,15000,1,white,HS,West Virginia,Cluster 6
20120403121197,20,2,2,20000,0,white,Some college,Florida,Cluster 4
20120403121636,23,1,0,12500,0,white,Bachelors,Arkansas,Cluster 4
20120404120761,27,2,2,20000,1,white,Bachelors,Idaho,Cluster 6
20120503120764,51,2,1,20000,0,white,Did not graduate from HS,California,Cluster 6
20120504120836,59,1,0,100000,1,white,Some college,Washington,Cluster 2
20120605121266,48,1,0,20000,0,white,Some college,Montana,Cluster 3
20120706121642,47,1,0,40000,1,white,HS,Texas,Cluster 3
20120707122002,53,1,0,50000,0,black,HS,Ohio,Cluster 5
20120808120127,36,2,0,7500,0,black,HS,Indiana,Cluster 3
20120808122181,85,2,0,20000,0,white,HS,Georgia,Cluster 1
20120908122395,17,1,4,30000,0,other,Did not graduate from HS,Nebraska,Cluster 4
20120909120524,30,1,2,60000,1,white,Bachelors,Georgia,Cluster 2
20120909121606,64,1,0,25000,1,white,Some college,California,Cluster 6
20121007121732,19,1,1,100000,0,black,Did not graduate from HS,Maryland,Cluster 3
20121008121793,69,2,0,25000,1,white,HS,North Carolina,Cluster 6
20121009120551,22,2,7,25000,0,white,HS,California,Cluster 5
20121009121176,19,2,1,40000,0,black,Some college,New York,Cluster 4
20121010122127,29,2,2,15000,1,white,Did not graduate from HS,California,Cluster 6
20121110120672,46,2,2,50000,1,white,Some college,Florida,Cluster 6
20121110121972,25,2,1,7500,0,white,Some college,North Carolina,Cluster 2
20121110122470,26,2,1,40000,0,white,Some college,Nevada,Cluster 2
20121211120682,22,1,1,150000,0,white,Bachelors,California,Cluster 4
20130111121062,38,1,2,150000,1,white,NA,Kansas,Cluster 6
20130112120684,56,2,0,20000,1,white,Some college,Illinois,Cluster 6
20130112120904,52,2,0,35000,0,white,Bachelors,Maryland,Cluster 2
20130201131396,15,2,3,100000,0,white,Did not graduate from HS,Ohio,Cluster 4
20130201131883,64,2,0,60000,1,white,HS,Virginia,Cluster 1
20130302130117,66,1,0,10000,1,white,Did not graduate from HS,New Jersey,Cluster 3
20130302132166,17,2,1,150000,0,white,Did not graduate from HS,Washington,Cluster 4
20130403130089,29,1,2,60000,0,white,HS,Florida,Cluster 2
20130403130857,17,1,2,60000,0,white,Did not graduate from HS,Texas,Cluster 4
20130403132454,85,2,0,10000,0,white,Did not graduate from HS,Virginia,Cluster 1
20130505132031,15,2,2,12500,0,white,Did not graduate from HS,Arkansas,Cluster 1
20130605131627,77,2,0,30000,1,white,HS,Pennsylvania,Cluster 1
20130705130997,35,2,4,30000,1,white,Did not graduate from HS,Texas,Cluster 6
20130706131540,47,1,0,10000,0,white,HS,New York,Cluster 3
20130706132048,21,2,1,60000,0,black,Some college,California,Cluster 2
20130707130745,54,2,0,50000,0,white,Some college,Massachusetts,Cluster 5
20130707131242,75,1,0,10000,1,white,Did not graduate from HS,Tennessee,Cluster 3
20130807131621,44,2,1,25000,1,white,HS,Michigan,Cluster 5
20130807132108,27,1,1,150000,0,white,Bachelors,Virginia,Cluster 1
20130808131141,85,2,0,150000,0,white,Masters,California,Cluster 4
20130908131185,44,2,1,40000,0,black,Some college,New York,Cluster 3
20130908132074,80,2,0,20000,0,white,Some college,Florida,Cluster 1
20131009130775,41,2,1,150000,1,white,Some college,California,Cluster 5
20131110130916,43,2,0,100000,0,white,Bachelors,New York,Cluster 2
20131110131257,61,1,0,20000,1,white,HS,Michigan,Cluster 5
20131110131694,15,2,3,100000,0,white,Did not graduate from HS,Colorado,Cluster 4
20131110132223,42,1,0,75000,0,white,Bachelors,Arizona,Cluster 2
20131210131291,38,2,1,30000,0,white,HS,Idaho,Cluster 2
